job_number,product_code,quantity_ordered,status,date_closed
JOB-1001,PRD-110,20,Closed,2026-06-17
JOB-1006,PRD-110,24,Closed,2026-06-26
JOB-1010,PRD-110,24,Closed,2026-07-04
JOB-1015,PRD-110,18,Open,
JOB-1003,PRD-120,16,Closed,2026-06-16
JOB-1008,PRD-120,14,Closed,2026-06-27
JOB-1013,PRD-120,20,Open,
JOB-1002,PRD-310,18,Closed,2026-06-13
JOB-1007,PRD-310,20,Closed,2026-06-27
JOB-1012,PRD-310,18,Open,
JOB-1004,PRD-440,20,Closed,2026-06-17
JOB-1011,PRD-440,16,Closed,2026-07-03
JOB-1005,PRD-450,18,Closed,2026-06-18
JOB-1009,PRD-450,22,Closed,2026-07-07
JOB-1014,PRD-450,16,Closed,2026-07-10
